City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Pedernales,DO,18.04,-71.74,84.2,66,20,16.11,few clouds
348,Sola,VU,-13.88,167.55,77.99,89,76,12.66,broken clouds
349,San Jeronimo,PE,-11.95,-75.28,60.6,51,100,4.34,light rain
350,Stornoway,GB,58.21,-6.39,46.99,91,100,1.99,overcast clouds
351,Salta,AR,-24.79,-65.41,89.6,38,75,9.17,broken clouds
352,Kushima,JP,31.46,131.23,46.62,73,28,5.3,scattered clouds
353,Dobryanka,RU,58.46,56.42,14.0,92,75,4.47,light snow
354,Rio Branco Do Sul,BR,-25.19,-49.31,82.4,51,0,4.7,light rain
355,Kousseri,CM,12.08,15.03,77.05,19,87,8.97,overcast clouds
356,Mingyue,CN,43.11,128.92,14.72,84,0,10.42,clear sky
357,Huambo,AO,-12.78,15.74,62.53,91,99,3.42,overcast clouds
358,Veraval,IN,20.9,70.37,75.78,75,0,3.49,clear sky
359,Amapa,BR,1.0,-52.0,79.11,93,100,3.27,light rain
360,Warwick,US,41.7,-71.42,55.99,35,1,9.17,clear sky
361,Zelenoborskiy,RU,66.84,32.36,24.01,2,100,13.24,overcast clouds
362,Lingyuan,CN,41.24,119.4,7.88,86,0,4.0,clear sky
363,Hobyo,SO,5.35,48.53,78.94,75,80,13.11,broken clouds
