City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Laje,BR,80.19,broken clouds,-10.18,-40.97,Pousada Centro
501,Mineiros,BR,88.05,scattered clouds,-17.57,-52.55,Pilões Palace Hotel
505,Vanimo,PG,78.48,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
508,Manoel Urbano,BR,92.93,heavy intensity rain,-8.84,-69.26,Baixada Beira Rio
512,Bangolo,CI,75.11,clear sky,7.01,-7.47,HÔTEL MATCHÊDÉ
513,Belmonte,BR,84.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
524,Kirakira,SB,81.16,overcast clouds,-10.45,161.92,SanBiz Lodge
525,Arlit,NE,80.96,clear sky,18.74,7.39,Hôtel Telwa Bungalow
527,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
528,Cayenne,GF,84.2,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
530,Kavaratti,IN,82.24,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
538,Fare,PF,81.88,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
541,Kudahuvadhoo,MV,81.99,clear sky,2.67,72.89,Kudahuvadhoo Retreat
542,Port Antonio,JM,86.0,few clouds,18.18,-76.46,Trident Hotel
543,Najran,SA,75.2,broken clouds,17.49,44.13,محمد هادي ال فطيح
547,Manta,EC,77.0,overcast clouds,-0.95,-80.73,Balandra Hotel
548,Ambon,ID,81.0,moderate rain,-3.7,128.18,Swiss-Belhotel Ambon
550,Oriximina,BR,91.76,scattered clouds,-1.77,-55.87,Pousada Tia Amélia
553,Kununurra,AU,80.6,scattered clouds,-15.77,128.73,Hotel Kununurra
556,Buala,SB,80.73,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
557,Upata,VE,88.0,light rain,8.01,-62.4,Posada Villa Nela
558,Barra Do Corda,BR,88.7,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
559,Kismayo,SO,80.92,clear sky,-0.36,42.55,Agan-Hotel
563,Meulaboh,ID,76.12,broken clouds,4.14,96.13,Kost Pria
568,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
569,Jaque,PA,81.43,light rain,7.52,-78.17,Imbu Bua Lodge
571,Curaca,BR,91.38,scattered clouds,-8.99,-39.91,Curaca
573,Bobo Dioulasso,BF,86.0,clear sky,11.18,-4.3,Rasma Bed and Breakfast
586,Tiebissou,CI,78.8,few clouds,7.16,-5.23,Hotel la Cachette (Tiebissou)
589,Namatanai,PG,78.1,overcast clouds,-3.67,152.43,Namatanai Hotel
592,Acarau,BR,82.65,broken clouds,-2.89,-40.12,castelo pizzaria
593,Linden,GY,77.0,thunderstorm,6.0,-58.3,Crimson Bat Hotel
598,Loandjili,CG,78.55,overcast clouds,-4.76,11.86,Résidence ARCHANGE
600,Sal Rei,CV,75.2,scattered clouds,16.18,-22.92,Marine Club Beach Resort
601,Cururupu,BR,82.76,overcast clouds,-1.83,-44.87,Pousada Través'cia
605,Hopelchen,MX,86.0,scattered clouds,19.77,-89.85,Hotel Jaguar
607,Pala,TD,77.16,overcast clouds,9.36,14.9,Hotel Pala Palace
615,Limbang,MY,77.0,broken clouds,4.75,115.0,Purnama Hotel
621,Yenagoa,NG,77.18,overcast clouds,4.92,6.26,Amba Hotels Limited
625,San Julian,MX,78.19,clear sky,21.02,-102.17,La Nueva España
627,Punto Fijo,VE,84.45,overcast clouds,11.7,-70.2,Santa Fe Inn Hotel
628,San Policarpo,PH,80.55,overcast clouds,12.18,125.51,JM Lodge
634,La Orilla,MX,82.9,clear sky,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
635,Coro,VE,84.43,overcast clouds,11.4,-69.67,Federal
641,Guane,CU,80.49,scattered clouds,22.2,-84.09,base de Campismo LosPortales de Guane
644,Dorado,PR,82.4,scattered clouds,18.46,-66.27,Embassy Suites by Hilton Dorado del Mar Beach Resort
645,La Libertad,EC,78.8,few clouds,-2.23,-80.9,Playa Canela Hotel Boutique
646,Auki,SB,78.57,overcast clouds,-8.77,160.7,Auki Motel
648,Manggar,ID,78.51,broken clouds,-2.88,108.27,Guest Hotel
650,Porbandar,IN,76.12,clear sky,21.64,69.61,Lords Inn Porbandar
652,Xuddur,SO,78.39,clear sky,4.12,43.89,Banjanay Hotel
655,Dhidhdhoo,MV,83.03,few clouds,6.88,73.1,Dhidhoo beach
659,Vianopolis,BR,75.56,broken clouds,-16.74,-48.52,Hotel Regente
663,Boca Do Acre,BR,92.91,overcast clouds,-8.75,-67.4,Hotel Linhares
